author_handle,author_display_name,author_did,created_at,text,uri,cid,like_count,reply_count,repost_count,quote_count,language,embed,detectora_ai_score
lion-c.bsky.social,Lion Cassens,did:plc:2fitdmiaotn22kbwgox4v7hc,2024-12-08T09:33:41.048Z,"3/ The 9 remaining accounts stopped posting shortly after my initial thread and have not posted since. Until then, these 9 made 182 posts: bsky.app/profile/badl...

This network was easy to find due to the common URL. However, it is likely not the only attempt to build a German speaking AI-network.",at://did:plc:2fitdmiaotn22kbwgox4v7hc/app.bsky.feed.post/3lcrvssswzs2h,bafyreian3sev3qun7opo7ktedozjckf7vv5jl3rcw6ouc5g2vwrxqy4lry,16,2,2,0,en,"record=Main(cid='bafyreif6azzshs5smbtrbzztfqexbzjwaqpvtqtgexh522zz6hhisgib4e', uri='at://did:plc:7syfakzcriq44mwbdbc7jwvn/app.bsky.feed.post/3lcqvua2erk2k', py_type='com.atproto.repo.strongRef') py_type='app.bsky.embed.record'",0.002489847131073475
lion-c.bsky.social,Lion Cassens,did:plc:2fitdmiaotn22kbwgox4v7hc,2024-12-08T09:33:41.047Z,"2/ This is less than it seemed, based on how the replies to these news articles were dominated by the network (now often called vanillasky network).

However, the network was likely still being developed.
The oldest account first posted 4 days ago, while approx. half started posting 2 days ago.",at://did:plc:2fitdmiaotn22kbwgox4v7hc/app.bsky.feed.post/3lcrvsssw2k2h,bafyreiaboamt2l46icqjgbn6eewzv7scuei2zc7v7pl7xj4w3yblkj37fe,10,1,1,0,en,,0.0021178426686674356
lion-c.bsky.social,Lion Cassens,did:plc:2fitdmiaotn22kbwgox4v7hc,2024-12-08T09:33:41.046Z,"Yesterdays thread on the discovery of an AI bot network gained quite some traction. Since then, ppl. found out more about the network.

1/ @badlogic.bsky.social and other's found that the bots are hosted through the same domain, which now has a total of only 19 bots. 10 of which are blocked by Bsky.",at://did:plc:2fitdmiaotn22kbwgox4v7hc/app.bsky.feed.post/3lcrvss7qrk2h,bafyreiddubek5uu42uwyq5zyl4c2j3ia4oiusg7le2c3wkkuvf4tdxb6cq,48,5,26,3,en,"record=Main(cid='bafyreihvqfupoungdzwnmmohobdgkjfabanyscbumfislm2a4yraujrb7y', uri='at://did:plc:2fitdmiaotn22kbwgox4v7hc/app.bsky.feed.post/3lcpc4ztcmk2n', py_type='com.atproto.repo.strongRef') py_type='app.bsky.embed.record'",0.001831565983593464
lion-c.bsky.social,Lion Cassens,did:plc:2fitdmiaotn22kbwgox4v7hc,2024-12-08T08:45:32.311Z,"Hi Robert, ich hatte selber auch nicht mit so viel Aufmerksamkeit für den post gerechnet und kann deine Verunsicherung daher verstehen. 

Falls noch zweifel bestehen, gerne über meine Arbeits/Uni-E-Mail Kontakt suchen (kann via Google gefunden werden).",at://did:plc:2fitdmiaotn22kbwgox4v7hc/app.bsky.feed.post/3lcrt4pckis2h,bafyreievulfuirze6ckdb3devxz3deqzzdsqn5s62ax33b7x7ddh4cd4vu,1,1,0,0,de,,0.0009039518190547824
lion-c.bsky.social,Lion Cassens,did:plc:2fitdmiaotn22kbwgox4v7hc,2024-12-08T08:27:41.727Z,"The accounts were less just a few hours/days old. Roughly half have been deleted by now - so it seems BlueSky is doing a good job!

They might still rely on us for reporting suspicious activities though.",at://did:plc:2fitdmiaotn22kbwgox4v7hc/app.bsky.feed.post/3lcrs4scvdk2v,bafyreic7kkgcwuznbzcg54ybjeqnlpmzits43kipxw4j5aosxitzc4q2oe,1,0,0,0,en,,0.0322367325425148
badlogic.bsky.social,Mario Zechner,did:plc:7syfakzcriq44mwbdbc7jwvn,2024-12-08T00:01:49.366Z,"And just to quantify the OPs claim that Bluesky is being flooded with German speaking bots.

This tiny network hat 19 bots, which posted a total of 182 posts (at least the 10 bots that are still active).

That's not quite a flood. Pretty sure as the elections come closer, we'll se more activity tho.",at://did:plc:7syfakzcriq44mwbdbc7jwvn/app.bsky.feed.post/3lcqvua2erk2k,bafyreif6azzshs5smbtrbzztfqexbzjwaqpvtqtgexh522zz6hhisgib4e,34,4,6,2,en,,0.06593639403581619
lion-c.bsky.social,Lion Cassens,did:plc:2fitdmiaotn22kbwgox4v7hc,2024-12-07T23:27:01.593Z,"Die bots aus dem thread haben mit niemandem interagiert. 

Rein technisch dürfte das aber Möglich sein. Fliegt aber ggf. schneller auf, wenn die Antworten weniger Sinn machen. 

Das Hauptproblem ist, das die mit der Zeit besser werden könnten.",at://did:plc:2fitdmiaotn22kbwgox4v7hc/app.bsky.feed.post/3lcqtvyymwk2z,bafyreibcdpjhtaoascodneiudlg475h55sfv4zdanfxw5ddgxoao7lpot4,2,1,0,0,de,,0.0004682602302636951
badlogic.bsky.social,Mario Zechner,did:plc:7syfakzcriq44mwbdbc7jwvn,2024-12-07T22:58:16.377Z,"In other bot news, these bots are on their on ""Personal Data Server"", which is still running. 

There are a total of 19 accounts on that server. Only 9 of them have been suspended. Curious why @support.bsky.team hasn't defederated with that PDS entirely?",at://did:plc:7syfakzcriq44mwbdbc7jwvn/app.bsky.feed.post/3lcqsclpgjc2k,bafyreids4kowumiuw3huczo6l4ld2yob6fuqxw4ap3rkxgh63ahzz3g4ne,34,3,14,4,en,"media=Main(images=[Image(alt='Fetched repo page (0 repos so far)\nFetched repo page (19 repos so far)\nFound 19 total accounts\nProcessing account 1/19: did:plc:mebbh6ivwisak2wmyhdupner\nHandle: marcoweber91.vanillasky.click\nName: Marco Weber\nDescription: 🏕️ Outdoor-Fan | 🎮 Gamer | 💻 Technik-Nerd | Immer bereit für neue Herausforderungen!\nPosts: 26\nProcessing account 2/19: did:plc:mgvycnjdf7ondai6ubsrcesy\nFailed to fetch profile for did:plc:mgvycnjdf7ondai6ubsrcesy: Error: Account has been suspended\nError fetching posts for did:plc:mgvycnjdf7ondai6ubsrcesy: Error: Profile not found\nProcessing account 3/19: did:plc:rp2pzlwtsxzjddbuqy2bbjd5\nFailed to fetch profile for did:plc:rp2pzlwtsxzjddbuqy2bbjd5: Error: Account has been suspended\nError fetching posts for did:plc:rp2pzlwtsxzjddbuqy2bbjd5: Error: Profile not found\nProcessing account 4/19: did:plc:ahfgjz3ymeypkswqd42pulsl\nHandle: julianschneider87.vanillasky.click\nName: Julian Schneider\nDescription: 🌌 Sternenbeobachter | 🚀 Weltraumfan | 📷 Fotograf aus Leidenschaft | Auf der Suche nach neuen Horizonten!\nPosts: 41\nProcessing account 5/19: did:plc:ktzihqnjlc7hw2krl4oygcd3\nFailed to fetch profile for did:plc:ktzihqnjlc7hw2krl4oygcd3: Error: Account has been suspended\nError fetching posts for did:plc:ktzihqnjlc7hw2krl4oygcd3: Error: Profile not found\nProcessing account 6/19: did:plc:2fswymc5t3nl3roo5drhstfa\nFailed to fetch profile for did:plc:2fswymc5t3nl3roo5drhstfa: Error: Account has been suspended\nError fetching posts for did:plc:2fswymc5t3nl3roo5drhstfa: Error: Profile not found\nProcessing account 7/19: did:plc:qx2ktdu6ynfsrblggjf56v6n\nFailed to fetch profile for did:plc:qx2ktdu6ynfsrblggjf56v6n: Error: Account has been suspended\nError fetching posts for did:plc:qx2ktdu6ynfsrblggjf56v6n: Error: Profile not found\n', image=BlobRef(mime_type='image/jpeg', size=677432, ref=IpldLink(link='bafkreiaddfmvk6c6t52c6dw36vvqc5nano6fu5jvdkhfc3jhgsebl3agtq'), py_type='blob'), aspect_ratio=AspectRatio(height=1842, width=1846, py_type='app.bsky.embed.defs#aspectRatio'), py_type='app.bsky.embed.images#image'), Image(alt='Processing account 12/19: did:plc:qq73sngfhgrmy3umvpd34o4f\nHandle: janinabecker89.vanillasky.click\nName: Janina Becker\nDescription: 🏞️ Naturfanatikerin | 📸 Fotografie-Enthusiastin | 🍷 Weinkennerin | Auf der Suche nach dem perfekten Moment!\nPosts: 10\nProcessing account 13/19: did:plc:b4by5mbdqwfiekw4aeub34vf\nFailed to fetch profile for did:plc:b4by5mbdqwfiekw4aeub34vf: Error: Account has been suspended\nError fetching posts for did:plc:b4by5mbdqwfiekw4aeub34vf: Error: Profile not found\nProcessing account 14/19: did:plc:a7nv6d5rshdclidvpfy5jtem\nHandle: felixneumann89.vanillasky.click\nName: Felix Neumann\nDescription: 🏞️ Naturentdecker | 🎥 Filmfan | 🍳 Kochliebhaber | Immer auf der Jagd nach neuen Geschmackserlebnissen!\nPosts: 8\nProcessing account 15/19: did:plc:i3lnumxsw7owut3cuczj5kw4\nHandle: leonardfischer86.vanillasky.click\nName: Leonard Fischer\nDescription: 🌌 Sternengucker | 🎥 Filmliebhaber | 🎻 Musikenthusiast | Auf der Suche nach Inspiration in jedem Moment!\nPosts: 12\nProcessing account 16/19: did:plc:ncugmc25d3ttozdgad5wubrx\nHandle: felixkonig86.vanillasky.click\nName: Felix König\nDescription: 🎥 Filmfanatiker | 🌍 Weltenbummler | 🍕 Pizza-Liebhaber | Immer auf der Suche nach der nächsten großen Story!\nPosts: 6\nProcessing account 17/19: did:plc:wzylfjeicx4gwc5ue5ysntef\nHandle: felixwagner87.vanillasky.click\nName: Felix Wagner\nDescription: 🎨 Kreativer Kopf | 📸 Fotografie-Enthusiast | 🌍 Weltenbummler | Lebe jeden Tag als wäre es der letzte!\nPosts: 9\nProcessing account 18/19: did:plc:3ptrtsc6gzueasouc6m2y2w7\nFailed to fetch profile for did:plc:3ptrtsc6gzueasouc6m2y2w7: Error: Account has been suspended\nError fetching posts for did:plc:3ptrtsc6gzueasouc6m2y2w7: Error: Profile not found\nProcessing account 19/19: did:plc:nxiafx6e54lk3mu6smcwevvv\nFailed to fetch profile for did:plc:nxiafx6e54lk3mu6smcwevvv: Error: Account has been suspended\nError fetching posts for did:plc:nxiafx6e54lk3mu6smcwevvv: Error: Profile not found', image=BlobRef(mime_type='image/jpeg', size=512761, ref=IpldLink(link='bafkreig5hc43tue4rcdjjbylbiyhf3lhn67pyodx45rsryfgsvd3ccx454'), py_type='blob'), aspect_ratio=AspectRatio(height=458, width=1776, py_type='app.bsky.embed.defs#aspectRatio'), py_type='app.bsky.embed.images#image')], py_type='app.bsky.embed.images') record=Main(record=Main(cid='bafyreihvqfupoungdzwnmmohobdgkjfabanyscbumfislm2a4yraujrb7y', uri='at://did:plc:2fitdmiaotn22kbwgox4v7hc/app.bsky.feed.post/3lcpc4ztcmk2n', py_type='com.atproto.repo.strongRef'), py_type='app.bsky.embed.record') py_type='app.bsky.embed.recordWithMedia'",0.009797980077564716
lion-c.bsky.social,Lion Cassens,did:plc:2fitdmiaotn22kbwgox4v7hc,2024-12-07T19:26:38.798Z,"Die sind alle über eine eigene Bluesky-Instanz registriert. Bluesky ist dezentral aufgebaut, so das man seinen Provider selbst auswählen kann. In diesem Fall wird das wohl genutzt um z.b. E-Mail-Verifizierungen zu umgehen. Oder andere Sicherheitsmaßnahmen.",at://did:plc:2fitdmiaotn22kbwgox4v7hc/app.bsky.feed.post/3lcqgi6du6s26,bafyreieqb7cngmfgxpbgr45d5uizgk6ljvpj7zxggpepbjthcuhlwnfr2u,6,1,0,0,en,,0.0004913366865366697
lion-c.bsky.social,Lion Cassens,did:plc:2fitdmiaotn22kbwgox4v7hc,2024-12-07T18:46:37.304Z,The domain also seems fairly new. Registered on 26th November according to www.whatsmydns.net/domain-age?q....,at://did:plc:2fitdmiaotn22kbwgox4v7hc/app.bsky.feed.post/3lcqeam42a22e,bafyreiakxiavezgsgmjdpmwzdh5enzc6xixec7tzf4y3hlaudar7s475oa,3,0,0,0,en,,0.013075300492346287
